station_id,quality,temp,period
AQW00061705,C,877,djf
CAW00064757,Q,298,djf
CQC00914080,R,808,djf
CQC00914801,R,839,djf
FMC00914395,P,873,djf
FMC00914419,P,884,djf
FMC00914446,P,863,djf
FMC00914482,R,858,djf
FMC00914720,R,893,djf
FMC00914761,P,895,djf
FMC00914831,P,854,djf
FMC00914892,P,873,djf
FMC00914898,P,874,djf
FMC00914911,P,876,djf
FMW00040308,S,871,djf
FMW00040504,C,871,djf
FMW00040505,S,857,djf
GQC00914025,P,830,djf
GQW00041415,C,852,djf
JQW00021603,P,835,djf
PSC00914519,P,864,djf
PSC00914712,P,824,djf
PSW00040309,S,867,djf
RMW00040604,S,856,djf
RMW00040710,C,858,djf
RQC00660061,S,799,djf
RQC00660152,S,860,djf
RQC00660158,R,736,djf
RQC00660410,R,859,djf
RQC00660426,S,819,djf
RQC00661901,R,779,djf
RQC00662336,R,657,djf
RQC00662801,S,852,djf
RQC00662934,R,828,djf
RQC00663409,P,800,djf
RQC00663431,S,838,djf
RQC00663657,R,846,djf
RQC00664193,R,854,djf
RQC00664276,S,847,djf
RQC00664702,S,824,djf
RQC00665064,S,840,djf
RQC00665097,R,872,djf
RQC00665693,R,871,djf
RQC00665807,R,824,djf
RQC00665908,R,762,djf
RQC00666073,R,862,djf
RQC00666258,R,853,djf
RQC00666992,R,661,djf
RQC00667292,C,872,djf
RQC00668126,Q,845,djf
RQC00668306,R,846,djf
RQC00668881,R,890,djf
RQC00669521,S,845,djf
RQC00669608,R,848,djf
RQW00011603,R,841,djf
RQW00011630,R,837,djf
RQW00011641,C,836,djf
USC00010063,Q,523,djf
USC00010160,C,572,djf
USC00010178,R,580,djf
USC00010252,S,629,djf
USC00010260,Q,509,djf
USC00010369,S,563,djf
USC00010390,R,526,djf
USC00010402,S,611,djf
USC00010425,R,587,djf
USC00010430,R,582,djf
USC00010505,C,555,djf
USC00010583,S,617,djf
USC00010655,S,522,djf
USC00010764,S,558,djf
USC00011080,S,616,djf
USC00011084,S,635,djf
USC00011099,S,509,djf
USC00011301,R,590,djf
USC00011324,R,577,djf
USC00011490,Q,528,djf
USC00011566,R,617,djf
USC00011620,S,587,djf
USC00011694,R,562,djf
USC00011725,R,601,djf
USC00011803,R,614,djf
USC00012096,R,520,djf
USC00012172,S,607,djf
USC00012209,Q,530,djf
USC00012245,S,571,djf
USC00012675,R,621,djf
USC00012730,S,622,djf
USC00012758,S,608,djf
USC00012813,C,632,djf
USC00012840,R,526,djf
USC00012883,R,560,djf
USC00013043,Q,532,djf
USC00013105,R,603,djf
USC00013154,S,541,djf
USC00013160,S,574,djf
USC00013251,S,630,djf
USC00013511,R,602,djf
USC00013519,S,595,djf
USC00013573,R,525,djf
USC00013575,R,522,djf
USC00013620,S,539,djf
USC00013645,C,547,djf
USC00013655,Q,542,djf
USC00013761,S,613,djf
USC00013775,S,544,djf
USC00013781,Q,564,djf
USC00013816,S,583,djf
USC00014193,S,607,djf
USC00014226,R,546,djf
USC00014502,R,574,djf
USC00014798,S,586,djf
USC00015121,C,576,djf
USC00015140,R,574,djf
USC00015439,S,591,djf
USC00015553,R,598,djf
USC00015635,S,529,djf
USC00015752,Q,515,djf
USC00016000,Q,559,djf
USC00016121,R,548,djf
USC00016129,S,571,djf
USC00016196,Q,524,djf
USC00016478,C,547,djf
USC00016988,S,626,djf
USC00017020,R,567,djf
USC00017025,R,563,djf
USC00017131,S,521,djf
USC00017157,S,553,djf
USC00017207,S,509,djf
USC00017304,S,533,djf
USC00017366,S,592,djf
USC00017999,S,558,djf
USC00018024,S,559,djf
USC00018178,S,592,djf
USC00018209,S,569,djf
USC00018323,S,594,djf
USC00018380,S,585,djf
USC00018438,S,594,djf
USC00018469,C,515,djf
USC00018517,S,558,djf
USC00018812,Q,531,djf
USC00018859,Q,582,djf
USC00018867,R,602,djf
USC00018998,S,535,djf
USC00020060,R,640,djf
USC00020080,Q,677,djf
USC00020100,C,671,djf
USC00020159,R,459,djf
USC00020170,Q,442,djf
USC00020287,S,666,djf
USC00020288,R,669,djf
USC00020404,Q,680,djf
USC00020586,R,567,djf
USC00020632,R,673,djf
USC00020670,R,615,djf
USC00020672,S,608,djf
USC00020678,R,431,djf
USC00020683,R,641,djf
USC00020750,S,414,djf
USC00020775,R,571,djf
USC00020808,S,511,djf
USC00020871,R,460,djf
USC00020949,C,664,djf
USC00020958,S,622,djf
USC00021001,R,381,djf
USC00021026,R,699,djf
USC00021050,S,674,djf
USC00021169,R,522,djf
USC00021231,S,595,djf
USC00021248,S,451,djf
USC00021282,R,649,djf
USC00021306,R,699,djf
USC00021314,S,678,djf
USC00021330,S,653,djf
USC00021353,S,670,djf
USC00021357,Q,665,djf
USC00021514,R,657,djf
USC00021574,R,434,djf
USC00021614,R,629,djf
USC00021654,Q,539,djf
USC00021664,R,586,djf
USC00021849,R,607,djf
USC00021920,R,488,djf
USC00022109,C,588,djf
USC00022140,S,589,djf
USC00022329,R,512,djf
USC00022434,R,698,djf
USC00022527,R,521,djf
USC00022659,R,654,djf
USC00022754,S,617,djf
USC00022782,Q,681,djf
USC00022790,S,686,djf
USC00022807,R,698,djf
USC00023009,R,439,djf
USC00023027,R,680,djf
USC00023110,Q,573,djf
USC00023150,S,620,djf
USC00023160,S,426,djf
USC00023190,S,652,djf
USC00023250,Q,490,djf
USC00023303,R,454,djf
USC00023393,S,706,djf
USC00023505,R,583,djf
USC00023596,S,453,djf
USC00023668,R,668,djf
USC00023683,S,429,djf
USC00023828,R,419,djf
USC00023961,Q,480,djf
USC00024053,R,611,djf
USC00024089,S,506,djf
USC00024453,S,507,djf
USC00024586,R,465,djf
USC00024645,R,557,djf
USC00024675,S,509,djf
USC00024686,R,450,djf
USC00024702,C,671,djf
USC00024759,R,666,djf
USC00024761,R,656,djf
USC00024829,S,679,djf
USC00024849,R,521,djf
USC00024977,R,659,djf
USC00025129,R,419,djf
USC00025270,C,692,djf
USC00025412,S,444,djf
USC00025426,Q,565,djf
USC00025512,S,622,djf
USC00025635,S,622,djf
USC00025665,R,425,djf
USC00025700,R,661,djf
USC00025780,R,456,djf
USC00025825,Q,547,djf
USC00025924,S,655,djf
USC00026037,R,543,djf
USC00026119,S,559,djf
USC00026132,S,704,djf
USC00026180,S,464,djf
USC00026190,Q,514,djf
USC00026194,Q,699,djf
USC00026242,Q,543,djf
USC00026250,R,696,djf
USC00026353,R,604,djf
USC00026468,S,513,djf
USC00026471,S,594,djf
USC00026513,R,672,djf
USC00026597,R,471,djf
USC00026601,Q,484,djf
USC00026603,Q,638,djf
USC00026616,S,490,djf
USC00026653,R,558,djf
USC00026716,S,551,djf
USC00026796,S,526,djf
USC00026840,R,618,djf
USC00026865,R,669,djf
USC00027281,S,618,djf
USC00027370,R,690,djf
USC00027390,C,619,djf
USC00027435,S,504,djf
USC00027480,S,615,djf
USC00027488,S,496,djf
USC00027560,R,614,djf
USC00027593,R,613,djf
USC00027619,S,644,djf
USC00027625,R,662,djf
USC00027708,R,585,djf
USC00027716,S,540,djf
USC00027855,S,484,djf
USC00027880,R,624,djf
USC00028012,C,516,djf
USC00028018,R,488,djf
USC00028112,R,668,djf
USC00028162,R,508,djf
USC00028214,S,676,djf
USC00028329,C,440,djf
USC00028348,R,629,djf
USC00028396,S,710,djf
USC00028468,S,455,djf
USC00028499,S,700,djf
USC00028516,R,600,djf
USC00028619,S,605,djf
USC00028641,R,678,djf
USC00028792,R,495,djf
USC00028795,R,669,djf
USC00028796,R,686,djf
USC00028800,R,672,djf
USC00028815,S,658,djf
USC00028817,S,690,djf
USC00028865,S,655,djf
USC00028904,S,604,djf
USC00029114,S,501,djf
USC00029156,Q,460,djf
USC00029158,S,518,djf
USC00029271,R,569,djf
USC00029287,S,654,djf
USC00029309,R,659,djf
USC00029334,S,621,djf
USC00029359,S,471,djf
USC00029376,R,664,djf
USC00029410,R,437,djf
USC00029464,Q,671,djf
USC00029542,S,489,djf
USC00029634,S,683,djf
USC00029645,S,630,djf
USC00029652,R,692,djf
USC00029656,R,711,djf
USC00030064,S,475,djf
USC00030130,S,509,djf
USC00030220,S,552,djf
USC00030240,S,532,djf
USC00030458,S,475,djf
USC00030460,S,509,djf
USC00030536,S,501,djf
USC00030582,S,544,djf
USC00030586,R,479,djf
USC00030618,Q,498,djf
USC00030664,Q,511,djf
USC00030764,S,523,djf
USC00030798,C,520,djf
USC00030806,C,472,djf
USC00030832,S,513,djf
USC00030936,S,500,djf
USC00031102,S,537,djf
USC00031132,S,497,djf
USC00031140,R,559,djf
USC00031152,S,564,djf
USC00031191,R,549,djf
USC00031442,R,509,djf
USC00031455,R,513,djf
USC00031457,Q,484,djf
USC00031459,R,503,djf
USC00031596,R,514,djf
USC00031632,S,467,djf
USC00031730,C,561,djf
USC00031838,S,530,djf
USC00031900,C,440,djf
USC00031948,C,550,djf
USC00031962,S,543,djf
USC00031968,S,505,djf
USC00032148,C,543,djf
USC00032355,S,579,djf
USC00032356,S,478,djf
USC00032366,S,507,djf
USC00032444,R,485,djf
USC00032540,S,540,djf
USC00032794,C,505,djf
USC00032930,S,499,djf
USC00032962,R,507,djf
USC00032978,S,497,djf
USC00033132,Q,502,djf
USC00033242,S,552,djf
USC00033428,S,555,djf
USC00033466,S,523,djf
USC00033544,S,483,djf
USC00033734,S,481,djf
USC00033821,C,489,djf
USC00033862,C,520,djf
USC00033909,Q,463,djf
USC00034106,S,468,djf
USC00034134,S,541,djf
USC00034185,R,565,djf
USC00034528,Q,495,djf
USC00034548,S,561,djf
USC00034562,S,539,djf
USC00034572,S,479,djf
USC00034638,C,507,djf
USC00034666,R,488,djf
USC00034711,Q,506,djf
USC00034756,S,515,djf
USC00034938,S,513,djf
USC00034988,S,517,djf
USC00035018,R,514,djf
USC00035036,S,478,djf
USC00035046,R,500,djf
USC00035079,S,539,djf
USC00035112,S,557,djf
USC00035186,C,477,djf
USC00035200,C,518,djf
USC00035376,R,554,djf
USC00035508,R,511,djf
USC00035512,R,492,djf
USC00035563,C,473,djf
USC00035754,S,533,djf
USC00035820,S,468,djf
USC00035831,Q,489,djf
USC00035866,S,543,djf
USC00035908,S,540,djf
USC00036174,Q,566,djf
USC00036253,S,535,djf
USC00036376,R,529,djf
USC00036403,Q,474,djf
USC00036506,S,510,djf
USC00036562,S,539,djf
USC00036768,S,543,djf
USC00036920,C,520,djf
USC00036928,S,509,djf
USC00037488,S,526,djf
USC00037582,S,547,djf
USC00037712,S,502,djf
USC00038010,Q,513,djf
USC00038052,S,488,djf
USC00038084,R,515,djf
USC00040029,R,471,djf
USC00040136,S,637,djf
USC00040161,R,447,djf
USC00040192,R,707,djf
USC00040212,S,541,djf
USC00040232,S,560,djf
USC00040343,S,605,djf
USC00040379,S,549,djf
USC00040383,S,557,djf
USC00040436,R,636,djf
USC00040444,Q,590,djf
USC00040449,S,538,djf
USC00040521,S,598,djf
USC00040673,S,618,djf
USC00040693,R,595,djf
USC00040738,R,511,djf
USC00040741,S,472,djf
USC00040755,Q,495,djf
USC00040790,R,603,djf
USC00040924,S,689,djf
USC00040931,S,433,djf
USC00040943,S,408,djf
USC00040983,S,695,djf
USC00041018,R,459,djf
USC00041048,R,714,djf
USC00041072,S,424,djf
USC00041214,R,447,djf
USC00041244,S,581,djf
USC00041253,S,667,djf
USC00041277,C,440,djf
USC00041312,R,602,djf
USC00041316,C,466,djf
USC00041428,S,548,djf
USC00041476,R,428,djf
USC00041484,R,689,djf
USC00041497,S,415,djf
USC00041534,Q,623,djf
USC00041606,R,449,djf
USC00041614,S,419,djf
USC00041697,S,484,djf
USC00041700,S,420,djf
USC00041715,R,572,djf
USC00041738,Q,656,djf
USC00041754,Q,530,djf
USC00041758,R,680,djf
USC00041806,R,560,djf
USC00041838,S,591,djf
USC00041864,C,607,djf
USC00041912,S,514,djf
USC00041948,S,559,djf
USC00041967,R,585,djf
USC00042012,S,574,djf
USC00042081,S,544,djf
USC00042147,S,543,djf
USC00042214,S,652,djf
USC00042239,S,523,djf
USC00042294,S,560,djf
USC00042319,C,683,djf
USC00042331,R,481,djf
USC00042338,R,502,djf
USC00042402,S,531,djf
USC00042410,Q,678,djf
USC00042456,R,565,djf
USC00042467,S,417,djf
USC00042500,S,492,djf
USC00042506,C,443,djf
USC00042574,C,509,djf
USC00042598,S,655,djf
USC00042640,R,569,djf
USC00042671,R,391,djf
USC00042706,S,695,djf
USC00042709,R,709,djf
USC00042713,S,713,djf
USC00042728,R,593,djf
USC00042771,S,570,djf
USC00042805,R,662,djf
USC00042863,R,687,djf
USC00042934,S,568,djf
USC00042941,R,549,djf
USC00043083,R,583,djf
USC00043113,R,569,djf
USC00043157,S,396,djf
USC00043161,S,525,djf
USC00043191,R,581,djf
USC00043244,R,591,djf
USC00043256,R,583,djf
USC00043261,S,586,djf
USC00043384,Q,530,djf
USC00043392,Q,658,djf
USC00043417,S,616,djf
USC00043463,S,561,djf
USC00043489,R,694,djf
USC00043551,S,443,djf
USC00043573,R,533,djf
USC00043578,C,588,djf
USC00043647,R,497,djf
USC00043669,R,536,djf
USC00043710,S,592,djf
USC00043714,S,593,djf
USC00043747,S,560,djf
USC00043824,S,482,djf
USC00043855,C,673,djf
USC00043875,S,590,djf
USC00043882,Q,598,djf
USC00043896,R,686,djf
USC00043914,S,615,djf
USC00043939,S,475,djf
USC00044025,S,609,djf
USC00044176,R,444,djf
USC00044211,S,554,djf
USC00044223,C,709,djf
USC00044232,S,563,djf
USC00044259,R,726,djf
USC00044278,S,606,djf
USC00044297,S,674,djf
USC00044303,Q,685,djf
USC00044374,S,431,djf
USC00044405,Q,611,djf
USC00044412,Q,538,djf
USC00044500,S,564,djf
USC00044523,R,609,djf
USC00044534,Q,584,djf
USC00044555,S,640,djf
USC00044577,R,536,djf
USC00044647,R,675,djf
USC00044671,S,444,djf
USC00044712,S,576,djf
USC00044713,R,446,djf
USC00044735,R,692,djf
USC00044838,S,425,djf
USC00044881,R,417,djf
USC00044890,C,590,djf
USC00044957,R,600,djf
USC00044997,C,577,djf
USC00045026,C,391,djf
USC00045032,S,574,djf
USC00045064,S,635,djf
USC00045118,C,578,djf
USC00045120,R,562,djf
USC00045123,S,587,djf
USC00045233,S,562,djf
USC00045280,R,405,djf
USC00045311,S,423,djf
USC00045360,S,575,djf
USC00045378,C,571,djf
USC00045385,R,577,djf
USC00045449,R,480,djf
USC00045502,R,728,djf
USC00045532,S,568,djf
USC00045679,S,428,djf
USC00045721,C,537,djf
USC00045756,S,579,djf
USC00045790,R,711,djf
USC00045795,S,585,djf
USC00045802,R,580,djf
USC00045853,Q,597,djf
USC00045866,S,651,djf
USC00045892,Q,490,djf
USC00045915,S,557,djf
